,MSA,Code,County_State
136,"191,""14260",16045,"Gem County, ID"
137,"192,""14260",16073,"Owyhee County, ID"
138,"206,""14500",08013,"Boulder County, CO"
139,"208,""14540",21061,"Edmonson County, KY"
140,"209,""14540",21227,"Warren County, KY"
141,"211,""14740",53035,"Kitsap County, WA"
142,"213,""14860",09001,"Fairfield County, CT"
143,"215,""15180",48061,"Cameron County, TX"
144,"217,""15260",13025,"Brantley County, GA"
145,"218,""15260",13127,"Glynn County, GA"
146,"219,""15260",13191,"McIntosh County, GA"
147,"221,""15380",36029,"Erie County, NY"
148,"222,""15380",36063,"Niagara County, NY"
149,"224,""15500",37001,"Alamance County, NC"
150,"226,""15540",50007,"Chittenden County, VT"
151,"227,""15540",50011,"Franklin County, VT"
152,"230,""15940",39019,"Carroll County, OH"
153,"231,""15940",39151,"Stark County, OH"
154,"233,""15980",12071,"Lee County, FL"
155,"235,""16180",32510,"Carson City, NV"
156,"237,""16220",56025,"Natrona County, WY"
157,"239,""16300",19011,"Benton County, IA"
158,"240,""16300",19105,"Jones County, IA"
159,"241,""16300",19113,"Linn County, IA"
160,"243,""16580",17019,"Champaign County, IL"
161,"244,""16580",17053,"Ford County, IL"
162,"245,""16580",17147,"Piatt County, IL"
163,"247,""16620",54005,"Boone County, WV"
164,"248,""16620",54015,"Clay County, WV"
165,"249,""16620",54039,"Kanawha County, WV"
166,"250,""16620",54043,"Lincoln County, WV"
167,"251,""16620",54079,"Putnam County, WV"
168,"253,""16700",45015,"Berkeley County, SC"
169,"254,""16700",45019,"Charleston County, SC"
170,"255,""16700",45035,"Dorchester County, SC"
171,"257,""16740",37007,"Anson County, NC"
172,"258,""16740",37025,"Cabarrus County, NC"
173,"259,""16740",37071,"Gaston County, NC"
174,"260,""16740",37119,"Mecklenburg County, NC"
175,"261,""16740",37179,"Union County, NC"
176,"262,""16740",45091,"York County, SC"
177,"264,""16820",51003,"Albemarle County, VA"
178,"265,""16820",51065,"Fluvanna County, VA"
179,"266,""16820",51079,"Greene County, VA"
180,"267,""16820",51125,"Nelson County, VA"
181,"268,""16820",51540,"Charlottesville city, VA"
182,"270,""16860",13047,"Catoosa County, GA"
183,"271,""16860",13083,"Dade County, GA"
184,"272,""16860",13295,"Walker County, GA"
185,"273,""16860",47065,"Hamilton County, TN"
186,"274,""16860",47115,"Marion County, TN"
187,"275,""16860",47153,"Sequatchie County, TN"
188,"277,""16940",56021,"Laramie County, WY"
189,"297,""17020",06007,"Butte County, CA"
190,"299,""17140",18029,"Dearborn County, IN"
191,"300,""17140",18047,"Franklin County, IN"
192,"301,""17140",18115,"Ohio County, IN"
193,"302,""17140",21015,"Boone County, KY"
194,"303,""17140",21023,"Bracken County, KY"
195,"304,""17140",21037,"Campbell County, KY"
196,"305,""17140",21077,"Gallatin County, KY"
197,"306,""17140",21081,"Grant County, KY"
198,"307,""17140",21117,"Kenton County, KY"
199,"308,""17140",21191,"Pendleton County, KY"
200,"309,""17140",39015,"Brown County, OH"
201,"310,""17140",39017,"Butler County, OH"
