,MSA,MSA_Name
93,2002,"                  Dothan, AL Metropolitan Statistical Area
"
94,2010,"                  Dover, DE Metropolitan Statistical Area
"
95,2022,"                  Dubuque, IA Metropolitan Statistical Area
"
96,2026,"                  Duluth, MN-WI Metropolitan Statistical Area
"
97,2050,"                  Durham, NC Metropolitan Statistical Area
"
98,2074,"                  Eau Claire, WI Metropolitan Statistical Area
"
99,2094,"                  El Centro, CA Metropolitan Statistical Area
"
100,2106,"                  Elizabethtown, KY Metropolitan Statistical Area
"
101,2114,"                  Elkhart-Goshen, IN Metropolitan Statistical Area
"
102,2130,"                  Elmira, NY Metropolitan Statistical Area
"
103,2134,"                  El Paso, TX Metropolitan Statistical Area
"
104,2150,"                  Erie, PA Metropolitan Statistical Area
"
105,2166,"                  Eugene-Springfield, OR Metropolitan Statistical Area
"
106,2178,"                  Evansville, IN-KY Metropolitan Statistical Area
"
107,2182,"                  Fairbanks, AK Metropolitan Statistical Area
"
108,2194,"                  Fajardo, PR Metropolitan Statistical Area
"
109,2202,"                  Fargo, ND-MN Metropolitan Statistical Area
"
110,2214,"                  Farmington, NM Metropolitan Statistical Area
"
111,2218,"                  Fayetteville, NC Metropolitan Statistical Area
"
112,2222,"                  Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area
"
113,2238,"                  Flagstaff, AZ Metropolitan Statistical Area
"
114,2242,"                  Flint, MI Metropolitan Statistical Area
"
115,2250,"                  Florence, SC Metropolitan Statistical Area
"
116,2252,"                  Florence-Muscle Shoals, AL Metropolitan Statistical Area
"
117,2254,"                  Fond du Lac, WI Metropolitan Statistical Area
"
118,2266,"                  Fort Collins-Loveland, CO Metropolitan Statistical Area
"
119,2290,"                  Fort Smith, AR-OK Metropolitan Statistical Area
"
120,2302,"                  Fort Walton Beach-Crestview-Destin, FL Metropolitan Statistical Area
"
121,2306,"                  Fort Wayne, IN Metropolitan Statistical Area
"
122,2342,"                  Fresno, CA Metropolitan Statistical Area
"
123,2346,"                  Gadsden, AL Metropolitan Statistical Area
"
124,2354,"                  Gainesville, FL Metropolitan Statistical Area
"
125,2358,"                  Gainesville, GA Metropolitan Statistical Area
"
126,2402,"                  Glens Falls, NY Metropolitan Statistical Area
"
127,2414,"                  Goldsboro, NC Metropolitan Statistical Area
"
128,2422,"                  Grand Forks, ND-MN Metropolitan Statistical Area
"
129,2430,"                  Grand Junction, CO Metropolitan Statistical Area
"
130,2434,"                  Grand Rapids-Wyoming, MI Metropolitan Statistical Area
"
131,2450,"                  Great Falls, MT Metropolitan Statistical Area
"
132,2454,"                  Greeley, CO Metropolitan Statistical Area
"
133,2458,"                  Green Bay, WI Metropolitan Statistical Area
"
134,2466,"                  Greensboro-High Point, NC Metropolitan Statistical Area
"
135,2478,"                  Greenville, NC Metropolitan Statistical Area
"
136,2486,"                  Greenville, SC Metropolitan Statistical Area
"
137,2502,"                  Guayama, PR Metropolitan Statistical Area
"
138,2506,"                  Gulfport-Biloxi, MS Metropolitan Statistical Area
"
139,2518,"                  Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area
"
140,2526,"                  Hanford-Corcoran, CA Metropolitan Statistical Area
"
141,2542,"                  Harrisburg-Carlisle, PA Metropolitan Statistical Area
"
142,2550,"                  Harrisonburg, VA Metropolitan Statistical Area
"
143,2554,"                  Hartford-West Hartford-East Hartford, CT Metropolitan Statistical Area
"
144,2562,"                  Hattiesburg, MS Metropolitan Statistical Area
"
145,2586,"                  Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area
"
146,2598,"                  Hinesville-Fort Stewart, GA Metropolitan Statistical Area
"
147,2610,"                  Holland-Grand Haven, MI Metropolitan Statistical Area
"
148,2618,"                  Honolulu, HI Metropolitan Statistical Area
"
